
--- Minimize function Ackley-10dim

DE           | t=  40.4 | ey=2.3e-01 | evals=1.0e+05
DE           | t=  42.1 | ey=2.9e-01 | evals=1.0e+05
DE           | t=  40.3 | ey=2.1e-01 | evals=1.0e+05
DE           | t=  39.6 | ey=1.1e-01 | evals=1.0e+05
DE           | t=  41.0 | ey=1.5e-01 | evals=1.0e+05
DE           | t=  42.6 | ey=8.9e-02 | evals=1.0e+05
DE           | t=  42.2 | ey=1.2e-01 | evals=1.0e+05
NB           | t=  47.8 | ey=3.0e+01 | evals=1.0e+05
NB           | t=  46.9 | ey=2.5e+01 | evals=1.0e+05
NB           | t=  46.6 | ey=2.2e+01 | evals=1.0e+05
NB           | t=  47.3 | ey=2.5e+01 | evals=1.0e+05
NB           | t=  48.5 | ey=2.8e+01 | evals=1.0e+05
NB           | t=  49.5 | ey=2.4e+01 | evals=1.0e+05
NB           | t=  47.8 | ey=2.1e+01 | evals=1.0e+05
NB           | t=  48.0 | ey=2.2e+01 | evals=1.0e+05
NB           | t=  49.9 | ey=2.8e+01 | evals=1.0e+05
NB           | t=  48.0 | ey=2.1e+01 | evals=1.0e+05
PSO          | t=  46.2 | ey=2.4e+01 | evals=1.0e+05
PSO          | t=  48.4 | ey=2.1e+01 | evals=1.0e+05
PSO          | t=  46.4 | ey=1.6e+01 | evals=1.0e+05
PSO          | t=  49.2 | ey=6.6e+00 | evals=1.0e+05
PSO          | t=  48.1 | ey=4.4e+01 | evals=1.0e+05
PSO          | t=  45.4 | ey=4.5e+01 | evals=1.0e+05
PSO          | t=  46.9 | ey=9.5e+00 | evals=1.0e+05
PSO          | t=  46.5 | ey=3.0e+01 | evals=1.0e+05
PSO          | t=  45.2 | ey=1.0e+00 | evals=1.0e+05
PSO          | t=  45.7 | ey=5.3e+00 | evals=1.0e+05



--- Minimize function Michalewicz-10dim

TTOpt        | t=   2.4 | ey=4.5e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=8.6e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=1.4e-01 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.6 | ey=2.4e-01 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.6 | ey=2.3e-01 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.6 | ey=1.1e-01 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=1.5e-01 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=1.5e-01 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=4.9e-03 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=1.7e-06 | evals=1.0e+05 | p=2, q=25, r=  4
GA           | t=   5.5 | ey=9.7e+00 | evals=1.0e+05
GA           | t=   5.9 | ey=9.7e+00 | evals=1.0e+05
GA           | t=   5.7 | ey=9.7e+00 | evals=1.0e+05
GA           | t=   5.4 | ey=9.7e+00 | evals=1.0e+05
GA           | t=   5.7 | ey=1.4e+01 | evals=1.0e+05
GA           | t=   5.7 | ey=9.7e+00 | evals=1.0e+05
GA           | t=   5.6 | ey=1.2e+01 | evals=1.0e+05
GA           | t=   5.8 | ey=9.7e+00 | evals=1.0e+05
GA           | t=   6.0 | ey=9.7e+00 | evals=1.0e+05
GA           | t=   5.7 | ey=9.7e+00 | evals=1.0e+05
